name,lat,lng
Pari Chowk,28.4744,77.5030
Knowledge Park I,28.4675,77.5070
Knowledge Park II,28.4712,77.5095
Knowledge Park III,28.4640,77.4950
Knowledge Park IV,28.4620,77.4850
Alpha 1,28.4760,77.5010
Alpha 2,28.4785,77.5050
Beta 1,28.4805,77.5100
Beta 2,28.4830,77.5150
Gamma 1,28.4680,77.5200
Gamma 2,28.4660,77.5220
Delta 1,28.4605,77.4955
Delta 2,28.4590,77.4930
Omega 1,28.4705,77.4800
Omega 2,28.4720,77.4780
Sector 36,28.4900,77.5200
Sector 37,28.4920,77.5250
Sector 38,28.4950,77.5300
Jagat Farm,28.4810,77.5035
Surajpur,28.5300,77.4850
Kasna,28.4430,77.5300
Galgotias University,28.3670,77.5400
Sharda University,28.4730,77.4850
Noida International University,28.2980,77.5600
Yamuna Expressway,28.4500,77.5400
Depot Metro Station,28.4825,77.5350
Bennett University,28.4505,77.5840
